date,SmallCap,LargeCap
1943-05,0.1726,0.0516
1943-06,-0.0197,0.0159
1943-07,-0.0667,-0.0359
1943-08,-0.0438,0.0115
1943-09,0.0536,0.0247
1943-10,-0.0081,-0.0093
1943-11,-0.1329,-0.0539
1943-12,0.1288,0.0561
1944-01,0.0999,0.0184
1944-02,0.0451,-0.0004
1944-03,0.0521,0.0202
1944-04,-0.0388,-0.0161
1944-05,0.0799,0.0427
1944-06,0.2038,0.0502
1944-07,-0.0181,-0.0084
1944-08,0.0584,0.0122
1944-09,-0.0135,-0.0012
1944-10,0.0048,0.0017
1944-11,0.0339,0.0171
1944-12,0.1123,0.0406
1945-01,0.0879,0.0269
1945-02,0.1171,0.0566
1945-03,-0.1143,-0.0342
1945-04,0.0971,0.0771
1945-05,0.0622,0.0188
1945-06,0.1082,-0.0064
1945-07,-0.0349,-0.0211
1945-08,0.0466,0.0547
1945-09,0.0599,0.0472
1945-10,0.1305,0.042
1945-11,0.16,0.051
1945-12,0.0275,0.0028
1946-01,0.1711,0.0634
1946-02,-0.0688,-0.0541
1946-03,0.0234,0.0621
1946-04,0.0949,0.0407
1946-05,0.0329,0.0327
1946-06,-0.0538,-0.0339
1946-07,-0.0499,-0.027
1946-08,-0.0853,-0.0575
1946-09,-0.1744,-0.0989
1946-10,-0.0088,0.0004
1946-11,-0.0088,-0.0004
1946-12,0.0097,0.05
1947-01,0.0673,0.0057
1947-02,0.0059,-0.0138
1947-03,-0.0448,-0.0175
1947-04,-0.1219,-0.0437
1947-05,-0.0673,-0.0007
1947-06,0.0809,0.0499
1947-07,0.08,0.0392
1947-08,-0.0345,-0.0198
1947-09,0.0079,-0.0085
1947-10,0.0441,0.027
1947-11,-0.037,-0.0181
1947-12,0.0252,0.0366
1948-01,0.0328,-0.0395
1948-02,-0.0755,-0.0413
1948-03,0.0998,0.0802
1948-04,0.0591,0.0319
1948-05,0.1281,0.0659
1948-06,-0.0245,-0.0016
1948-07,-0.0614,-0.048
1948-08,-0.0132,0.009
1948-09,-0.0589,-0.0304
1948-10,0.0568,0.0637
1948-11,-0.1081,-0.0929
1948-12,-0.028,0.0362
1949-01,0.0357,0.0065
1949-02,-0.0593,-0.0292
1949-03,0.077,0.0397
1949-04,-0.0259,-0.0123
1949-05,-0.0652,-0.0317
1949-06,-0.0153,0.0067
1949-07,0.0803,0.0544
1949-08,0.0174,0.0313
1949-09,0.0609,0.0273
1949-10,0.0867,0.0283
1949-11,-0.0176,0.0192
1949-12,0.0914,0.0511
1950-01,0.0618,0.0143
1950-02,0.027,0.007
1950-03,-0.0045,0.0123
1950-04,0.0672,0.0303
1950-05,0.046,0.0442
1950-06,-0.0947,-0.0578
1950-07,0.1024,0.0077
1950-08,0.0524,0.0452
1950-09,0.0443,0.049
1950-10,0.0036,-0.0017
1950-11,0.0268,0.0317
1950-12,0.1652,0.0509
1951-01,0.0797,0.0499
1951-02,0.0018,0.0102
1951-03,-0.0651,-0.0155
1951-04,0.0316,0.0451
1951-05,-0.0351,-0.022
1951-06,-0.0608,-0.0195
1951-07,0.0367,0.0808
1951-08,0.0645,0.0407
1951-09,0.0113,0.0063
1951-10,-0.0178,-0.027
1951-11,-0.0101,0.0061
1951-12,-0.0037,0.0387
1952-01,0.0163,0.0227
1952-02,-0.0263,-0.0275
1952-03,0.0037,0.0447
1952-04,-0.0464,-0.049
1952-05,0.0072,0.0315
1952-06,0.0268,0.04
1952-07,0.0007,0.011
1952-08,-0.0033,-0.0103
1952-09,-0.0074,-0.0216
1952-10,-0.006,-0.0057
1952-11,0.0339,0.0587
1952-12,0.0016,0.0348
1953-01,0.0601,-0.0098
1953-02,0.0296,-0.0036
1953-03,-0.0041,-0.0124
1953-04,-0.023,-0.0324
1953-05,0.0104,0.0024
1953-06,-0.0418,-0.0176
1953-07,0.0043,0.0322
1953-08,-0.0556,-0.0473
1953-09,-0.0457,0.0049
1953-10,0.0226,0.0498
1953-11,0.0129,0.0269
1953-12,-0.0382,-0.0001
1954-01,0.1031,0.053
1954-02,-0.0004,0.0121
1954-03,0.0214,0.0339
1954-04,0.0162,0.0416
1954-05,0.036,0.0344
1954-06,0.0188,0.0024
1954-07,0.1103,0.0472
1954-08,0.0089,-0.0285
1954-09,0.0324,0.0577
1954-10,-0.0041,-0.0172
1954-11,0.0584,0.0994
1954-12,0.1495,0.0525
1955-01,0.032,-0.0004
1955-02,0.0394,0.0317
1955-03,0.0009,0.0002
1955-04,0.0299,0.0327
1955-05,0.0093,0.0147
1955-06,0.0288,0.0544
1955-07,0.0232,0.0058
1955-08,-0.0019,0.0109
1955-09,0.0032,-0.0055
1955-10,-0.0231,-0.0245
1955-11,0.0231,0.0712
1955-12,0.0249,0.0176
1956-01,-0.0066,-0.026
1956-02,0.0262,0.0422
1956-03,0.0258,0.0768
1956-04,0.0104,0.0067
1956-05,-0.0402,-0.0533
1956-06,0.0008,0.0362
1956-07,0.0174,0.0555
1956-08,-0.0142,-0.036
1956-09,-0.0366,-0.0569
1956-10,0.0033,0.0067
1956-11,-0.0054,0.0081
1956-12,0.0046,0.0282
1957-01,0.0467,-0.0341
1957-02,-0.0277,-0.0194
1957-03,0.0149,0.0229
1957-04,0.0348,0.0423
1957-05,0.0072,0.0374
1957-06,0.0211,-0.0042
1957-07,0.0095,0.0068
1957-08,-0.0469,-0.0444
1957-09,-0.0651,-0.0523
1957-10,-0.0995,-0.0411
1957-11,-0.0051,0.0374
1957-12,-0.0498,-0.0406
1958-01,0.1548,0.0499
1958-02,-0.0168,-0.0166
1958-03,0.0313,0.0364
1958-04,0.0548,0.0235
1958-05,0.057,0.0284
1958-06,0.0458,0.0294
1958-07,0.0576,0.0475
1958-08,0.0453,0.0155
1958-09,0.0727,0.0424
1958-10,0.0231,0.026
1958-11,0.0301,0.0331
1958-12,0.0318,0.0515
1959-01,0.0903,0.0095
1959-02,0.0313,0.0185
1959-03,0.0048,0.0024
1959-04,0.0171,0.0283
1959-05,-0.0044,0.0213
1959-06,-0.015,0.0053
1959-07,0.0397,0.0291
1959-08,-0.0181,-0.0156
1959-09,-0.0329,-0.0475
1959-10,-0.003,0.0156
1959-11,-0.0043,0.0197
1959-12,0.0191,0.0268
1960-01,0.0077,-0.07
1960-02,-0.0141,0.0097
1960-03,-0.02,-0.0135
1960-04,-0.0358,-0.0133
1960-05,-0.005,0.0415
1960-06,0.0226,0.0224
1960-07,-0.0079,-0.0293
1960-08,0.0589,0.0269
1960-09,-0.0656,-0.0579
1960-10,-0.0351,0.0018
1960-11,0.0179,0.0499
1960-12,0.0178,0.0463
1961-01,0.1025,0.0507
1961-02,0.0677,0.041
1961-03,0.0711,0.0183
1961-04,0.0325,-0.0014
1961-05,0.0537,0.0377
1961-06,-0.0462,-0.027
1961-07,-0.0122,0.0261
1961-08,0.0148,0.0306
1961-09,-0.0332,-0.0184
1961-10,0.0173,0.0234
1961-11,0.0383,0.0416
1961-12,-0.0074,-0.0067
1962-01,0.046,-0.0465
1962-02,0.0237,0.0174
1962-03,-0.0055,-0.0044
1962-04,-0.0695,-0.0619
1962-05,-0.1147,-0.0892
1962-06,-0.0873,-0.0917
1962-07,0.0778,0.0538
1962-08,0.0389,0.0164
1962-09,-0.064,-0.0453
1962-10,-0.0462,0.0079
1962-11,0.1431,0.1144
1962-12,-0.0165,0.01
1963-01,0.1157,0.0512
1963-02,-0.0039,-0.0217
1963-03,0.0229,0.0317
1963-04,0.0283,0.0453
1963-05,0.0593,0.0156
1963-06,-0.0231,-0.0136
1963-07,-0.0009,0.0031
1963-08,0.026,0.0618
1963-09,0.0026,-0.0179
1963-10,0.0079,0.0203
1963-11,-0.0254,-0.0078
1963-12,-0.028,0.0229
1964-01,0.0595,0.02
1964-02,0.0287,0.0191
1964-03,0.0261,0.0145
1964-04,0.0121,0.0078
1964-05,-0.0027,0.0157
1964-06,0.0032,0.0182
1964-07,0.0386,0.0181
1964-08,-0.0009,-0.013
1964-09,0.0458,0.0317
1964-10,0.0275,0.0074
1964-11,-0.0029,0.0036
1964-12,-0.025,-0.0019
1965-01,0.101,0.0439
1965-02,0.041,0.0066
1965-03,0.0308,-0.015
1965-04,0.0521,0.0232
1965-05,0.0013,-0.0075
1965-06,-0.094,-0.0414
1965-07,0.0266,0.0122
1965-08,0.0352,0.0311
1965-09,0.0235,0.0252
1965-10,0.0792,0.0186
1965-11,0.0759,0.0012
1965-12,0.0609,0.0127
1966-01,0.1034,0.0021
1966-02,0.0609,-0.0223
1966-03,0.0129,-0.0203
1966-04,0.0637,0.016
1966-05,-0.1164,-0.0383
1966-06,-0.0089,-0.0153
1966-07,-0.0199,-0.0134
1966-08,-0.1156,-0.0718
1966-09,-0.0257,-0.0047
1966-10,-0.0538,0.0491
1966-11,0.0358,0.0296
1966-12,0.0086,0.0026
1967-01,0.2323,0.0761
1967-02,0.0823,-0.0003
1967-03,0.0647,0.0391
1967-04,0.048,0.0375
1967-05,0.0096,-0.0428
